#{"t_start": 1759397004.324118, "env_id": "seals/MountainCar-v0"}
r,l,t
-200.0,200,0.536272
-200.0,200,1.395968
-200.0,200,2.276749
-200.0,200,2.527614
-200.0,200,2.787548
-200.0,200,3.064327
-200.0,200,3.319763
-200.0,200,3.579783
-200.0,200,3.840533
